distance_left,distance_right,direction,acceleration
140.0,67.0,0.0,0.0
140.0,67.0,0.0,0.0
140.0,67.0,0.0,0.0
140.0,67.0,0.0,0.0
140.0,67.0,0.0,0.0
140.0,67.0,0.0,0.0
140.0,67.0,0.0,0.0
140.0,67.0,0.0,0.0
140.0,67.0,0.0,0.0
140.0,67.0,0.0,0.0
140.0,67.0,0.0,0.0
140.0,67.0,0.0,0.0
140.0,67.0,0.0,0.0
140.0,67.0,0.0,0.0
140.0,67.0,0.0,0.0
140.0,67.0,0.0,0.0
140.0,67.0,0.0,0.0
140.0,67.0,-0.01802691,0.0
140.0,67.0,-0.01802691,0.0
140.0,67.0,-0.01802691,0.0
140.0,67.0,-0.01919107,0.0
140.0,67.0,-0.02186279,0.0
140.0,67.0,-0.02186279,0.0
140.0,67.0,-0.02186279,0.0
140.0,67.0,-0.02186279,0.0
140.0,67.0,-0.02186279,0.0
140.0,67.0,-0.02186279,0.0
140.0,67.0,-0.02363963,0.0
140.0,67.0,-0.02851706,0.0
140.0,67.0,-0.03833331,0.0
140.0,67.0,-0.04182596,0.0
140.0,67.0,-0.05422794,0.0
140.0,67.0,-0.06435044,0.0
140.0,67.0,-0.06724261,0.0
140.0,67.0,-0.07087007,0.0
140.0,67.0,-0.08066173,0.0
140.0,67.0,-0.09265926,0.0
140.0,67.0,-0.11213239999999998,0.0
140.0,67.0,-0.1333333,0.0
140.0,67.0,-0.13388470000000002,0.0
140.0,67.0,-0.1349755,0.0
140.0,67.0,-0.13551470000000002,0.0
140.0,67.0,-0.1357844,0.0
140.0,67.0,-0.13660529999999999,0.0
140.0,67.0,-0.1424876,0.0
140.0,67.0,-0.14693620000000002,0.0
140.0,67.0,-0.1488481,0.0
140.0,67.0,-0.1510661,0.0
140.0,67.0,-0.1510661,0.0
140.0,67.0,-0.1510661,0.0
140.0,67.0,-0.1510661,0.0
140.0,67.0,-0.1510661,0.0
140.0,67.0,-0.1510661,0.0
140.0,71.0,-0.1510661,0.2037266
141.0,67.0,-0.1510661,0.4824568
142.0,65.0,-0.1510661,0.7351738
140.0,67.0,-0.1510661,0.6690241
141.5,68.0,-0.1510661,0.44823290000000005
148.0,66.0,-0.1510661,0.186882
145.0,67.0,-0.1510661,0.0
141.0,70.0,-0.1510661,0.0
141.0,72.0,-0.15683829999999999,0.0
145.0,63.0,-0.17197300000000001,0.0
141.5,67.0,-0.2136029,0.1252019
145.0,67.0,-0.2442769,0.40175700000000003
142.0,63.0,-0.2463357,0.6114811
141.0,71.0,-0.2463357,0.5937241
